calc_time,symbol,base_asset,quote_asset,index_value
1759363200007,BTCBVOLUSDT,BTCBVOL,USDT,39.0220
1759363201004,BTCBVOLUSDT,BTCBVOL,USDT,39.0220
1759363202000,BTCBVOLUSDT,BTCBVOL,USDT,39.0220
1759363203000,BTCBVOLUSDT,BTCBVOL,USDT,39.0220
1759363204000,BTCBVOLUSDT,BTCBVOL,USDT,39.0220
1759363205001,BTCBVOLUSDT,BTCBVOL,USDT,39.0221
1759363206004,BTCBVOLUSDT,BTCBVOL,USDT,39.0221
1759363207012,BTCBVOLUSDT,BTCBVOL,USDT,39.0221
1759363208000,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363209010,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363210007,BTCBVOLUSDT,BTCBVOL,USDT,39.0223
1759363211000,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363212000,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363213001,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363214001,BTCBVOLUSDT,BTCBVOL,USDT,39.0221
1759363215001,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363216000,BTCBVOLUSDT,BTCBVOL,USDT,39.0222
1759363217004,BTCBVOLUSDT,BTCBVOL,USDT,39.0223
1759363218001,BTCBVOLUSDT,BTCBVOL,USDT,39.0224
1759363219009,BTCBVOLUSDT,BTCBVOL,USDT,39.0224
1759363220000,BTCBVOLUSDT,BTCBVOL,USDT,39.0225
1759363221000,BTCBVOLUSDT,BTCBVOL,USDT,39.0225
1759363222005,BTCBVOLUSDT,BTCBVOL,USDT,39.0227
1759363223001,BTCBVOLUSDT,BTCBVOL,USDT,39.0230
1759363224002,BTCBVOLUSDT,BTCBVOL,USDT,39.0231
1759363225013,BTCBVOLUSDT,BTCBVOL,USDT,39.0233
1759363226004,BTCBVOLUSDT,BTCBVOL,USDT,39.0235
1759363227002,BTCBVOLUSDT,BTCBVOL,USDT,39.0236
1759363228004,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363229003,BTCBVOLUSDT,BTCBVOL,USDT,39.0239
1759363230000,BTCBVOLUSDT,BTCBVOL,USDT,39.0240
1759363231004,BTCBVOLUSDT,BTCBVOL,USDT,39.0240
1759363232000,BTCBVOLUSDT,BTCBVOL,USDT,39.0239
1759363233000,BTCBVOLUSDT,BTCBVOL,USDT,39.0241
1759363234000,BTCBVOLUSDT,BTCBVOL,USDT,39.0242
1759363235005,BTCBVOLUSDT,BTCBVOL,USDT,39.0243
1759363236001,BTCBVOLUSDT,BTCBVOL,USDT,39.0243
1759363237000,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363238001,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363239003,BTCBVOLUSDT,BTCBVOL,USDT,39.0245
1759363240000,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363241003,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363242000,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363243000,BTCBVOLUSDT,BTCBVOL,USDT,39.0247
1759363244000,BTCBVOLUSDT,BTCBVOL,USDT,39.0248
1759363245000,BTCBVOLUSDT,BTCBVOL,USDT,39.0248
1759363246000,BTCBVOLUSDT,BTCBVOL,USDT,39.0248
1759363247001,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363248000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363249000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363250000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363251000,BTCBVOLUSDT,BTCBVOL,USDT,39.0250
1759363252000,BTCBVOLUSDT,BTCBVOL,USDT,39.0250
1759363253000,BTCBVOLUSDT,BTCBVOL,USDT,39.0250
1759363254002,BTCBVOLUSDT,BTCBVOL,USDT,39.0250
1759363255000,BTCBVOLUSDT,BTCBVOL,USDT,39.0251
1759363256003,BTCBVOLUSDT,BTCBVOL,USDT,39.0251
1759363257001,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363258007,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363259000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363260000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363261000,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363262005,BTCBVOLUSDT,BTCBVOL,USDT,39.0249
1759363263000,BTCBVOLUSDT,BTCBVOL,USDT,39.0248
1759363264002,BTCBVOLUSDT,BTCBVOL,USDT,39.0248
1759363265006,BTCBVOLUSDT,BTCBVOL,USDT,39.0247
1759363266000,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363267000,BTCBVOLUSDT,BTCBVOL,USDT,39.0245
1759363268001,BTCBVOLUSDT,BTCBVOL,USDT,39.0245
1759363269001,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363270001,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363271000,BTCBVOLUSDT,BTCBVOL,USDT,39.0243
1759363272000,BTCBVOLUSDT,BTCBVOL,USDT,39.0242
1759363273000,BTCBVOLUSDT,BTCBVOL,USDT,39.0241
1759363274001,BTCBVOLUSDT,BTCBVOL,USDT,39.0240
1759363275001,BTCBVOLUSDT,BTCBVOL,USDT,39.0239
1759363276000,BTCBVOLUSDT,BTCBVOL,USDT,39.0239
1759363277000,BTCBVOLUSDT,BTCBVOL,USDT,39.0235
1759363278001,BTCBVOLUSDT,BTCBVOL,USDT,39.0233
1759363279000,BTCBVOLUSDT,BTCBVOL,USDT,39.0233
1759363280001,BTCBVOLUSDT,BTCBVOL,USDT,39.0245
1759363281004,BTCBVOLUSDT,BTCBVOL,USDT,39.0245
1759363282002,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363283001,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363284009,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363285007,BTCBVOLUSDT,BTCBVOL,USDT,39.0246
1759363286000,BTCBVOLUSDT,BTCBVOL,USDT,39.0244
1759363287001,BTCBVOLUSDT,BTCBVOL,USDT,39.0243
1759363288000,BTCBVOLUSDT,BTCBVOL,USDT,39.0242
1759363289000,BTCBVOLUSDT,BTCBVOL,USDT,39.0240
1759363290000,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363291000,BTCBVOLUSDT,BTCBVOL,USDT,39.0237
1759363292010,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363293001,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363294004,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363295001,BTCBVOLUSDT,BTCBVOL,USDT,39.0239
1759363296001,BTCBVOLUSDT,BTCBVOL,USDT,39.0238
1759363297000,BTCBVOLUSDT,BTCBVOL,USDT,39.0237
1759363298001,BTCBVOLUSDT,BTCBVOL,USDT,39.0236
1759363299001,BTCBVOLUSDT,BTCBVOL,USDT,39.0214
1759363300000,BTCBVOLUSDT,BTCBVOL,USDT,39.0194
1759363301000,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363302000,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363303004,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363304001,BTCBVOLUSDT,BTCBVOL,USDT,39.0181
1759363305003,BTCBVOLUSDT,BTCBVOL,USDT,39.0181
1759363306002,BTCBVOLUSDT,BTCBVOL,USDT,39.0182
1759363307001,BTCBVOLUSDT,BTCBVOL,USDT,39.0182
1759363308000,BTCBVOLUSDT,BTCBVOL,USDT,39.0183
1759363309004,BTCBVOLUSDT,BTCBVOL,USDT,39.0182
1759363310000,BTCBVOLUSDT,BTCBVOL,USDT,39.0181
1759363311001,BTCBVOLUSDT,BTCBVOL,USDT,39.0181
1759363312001,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363313001,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363314001,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363315000,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363316000,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363317001,BTCBVOLUSDT,BTCBVOL,USDT,39.0178
1759363318000,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363319004,BTCBVOLUSDT,BTCBVOL,USDT,39.0177
1759363320003,BTCBVOLUSDT,BTCBVOL,USDT,39.0176
1759363321001,BTCBVOLUSDT,BTCBVOL,USDT,39.0172
1759363322000,BTCBVOLUSDT,BTCBVOL,USDT,39.0172
1759363323002,BTCBVOLUSDT,BTCBVOL,USDT,39.0171
1759363324000,BTCBVOLUSDT,BTCBVOL,USDT,39.0171
1759363325006,BTCBVOLUSDT,BTCBVOL,USDT,39.0170
1759363326000,BTCBVOLUSDT,BTCBVOL,USDT,39.0170
1759363327007,BTCBVOLUSDT,BTCBVOL,USDT,39.0170
1759363328000,BTCBVOLUSDT,BTCBVOL,USDT,39.0170
1759363329007,BTCBVOLUSDT,BTCBVOL,USDT,39.0170
1759363330000,BTCBVOLUSDT,BTCBVOL,USDT,39.0171
1759363331000,BTCBVOLUSDT,BTCBVOL,USDT,39.0172
1759363332000,BTCBVOLUSDT,BTCBVOL,USDT,39.0172
1759363333000,BTCBVOLUSDT,BTCBVOL,USDT,39.0173
1759363334002,BTCBVOLUSDT,BTCBVOL,USDT,39.0174
1759363335000,BTCBVOLUSDT,BTCBVOL,USDT,39.0175
1759363336001,BTCBVOLUSDT,BTCBVOL,USDT,39.0176
1759363337004,BTCBVOLUSDT,BTCBVOL,USDT,39.0176
1759363338001,BTCBVOLUSDT,BTCBVOL,USDT,39.0176
1759363339000,BTCBVOLUSDT,BTCBVOL,USDT,39.0177
1759363340003,BTCBVOLUSDT,BTCBVOL,USDT,39.0178
1759363341000,BTCBVOLUSDT,BTCBVOL,USDT,39.0178
1759363342005,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363343000,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363344001,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363345001,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363346000,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363347000,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363348001,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363349005,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363350004,BTCBVOLUSDT,BTCBVOL,USDT,39.0178
1759363351005,BTCBVOLUSDT,BTCBVOL,USDT,39.0179
1759363352000,BTCBVOLUSDT,BTCBVOL,USDT,39.0180
1759363353000,BTCBVOLUSDT,BTCBVOL,USDT,39.0181
1759363354001,BTCBVOLUSDT,BTCBVOL,USDT,39.0182
1759363355000,BTCBVOLUSDT,BTCBVOL,USDT,39.0182
1759363356002,BTCBVOLUSDT,BTCBVOL,USDT,39.0183
1759363357001,BTCBVOLUSDT,BTCBVOL,USDT,39.0184
1759363358000,BTCBVOLUSDT,BTCBVOL,USDT,39.0185
1759363359008,BTCBVOLUSDT,BTCBVOL,USDT,39.0185
1759363360000,BTCBVOLUSDT,BTCBVOL,USDT,39.0186
1759363361000,BTCBVOLUSDT,BTCBVOL,USDT,39.0187
1759363362000,BTCBVOLUSDT,BTCBVOL,USDT,39.0188
1759363363000,BTCBVOLUSDT,BTCBVOL,USDT,39.0190
1759363364001,BTCBVOLUSDT,BTCBVOL,USDT,39.0190
1759363365001,BTCBVOLUSDT,BTCBVOL,USDT,39.0192
1759363366001,BTCBVOLUSDT,BTCBVOL,USDT,39.0193
1759363367000,BTCBVOLUSDT,BTCBVOL,USDT,39.0194
1759363368000,BTCBVOLUSDT,BTCBVOL,USDT,39.0195
1759363369000,BTCBVOLUSDT,BTCBVOL,USDT,39.0196
1759363370003,BTCBVOLUSDT,BTCBVOL,USDT,39.0196
1759363371000,BTCBVOLUSDT,BTCBVOL,USDT,39.0197
1759363372000,BTCBVOLUSDT,BTCBVOL,USDT,39.0198
1759363373000,BTCBVOLUSDT,BTCBVOL,USDT,39.0199
1759363374000,BTCBVOLUSDT,BTCBVOL,USDT,39.0199
1759363375001,BTCBVOLUSDT,BTCBVOL,USDT,39.0201
1759363376000,BTCBVOLUSDT,BTCBVOL,USDT,39.0202
1759363377005,BTCBVOLUSDT,BTCBVOL,USDT,39.0203
1759363378001,BTCBVOLUSDT,BTCBVOL,USDT,39.0204
1759363379002,BTCBVOLUSDT,BTCBVOL,USDT,39.0204
1759363380007,BTCBVOLUSDT,BTCBVOL,USDT,39.0205
1759363381001,BTCBVOLUSDT,BTCBVOL,USDT,39.0206
1759363382000,BTCBVOLUSDT,BTCBVOL,USDT,39.0207
1759363383000,BTCBVOLUSDT,BTCBVOL,USDT,39.0207
1759363384000,BTCBVOLUSDT,BTCBVOL,USDT,39.0208
1759363385002,BTCBVOLUSDT,BTCBVOL,USDT,39.0210
1759363386001,BTCBVOLUSDT,BTCBVOL,USDT,39.0211
1759363387003,BTCBVOLUSDT,BTCBVOL,USDT,39.0212
1759363388001,BTCBVOLUSDT,BTCBVOL,USDT,39.0214
1759363389000,BTCBVOLUSDT,BTCBVOL,USDT,39.0219
1759363390001,BTCBVOLUSDT,BTCBVOL,USDT,39.0224
1759363391000,BTCBVOLUSDT,BTCBVOL,USDT,39.0231
1759363392000,BTCBVOLUSDT,BTCBVOL,USDT,39.0236
1759363393008,BTCBVOLUSDT,BTCBVOL,USDT,39.0240
1759363394003,BTCBVOLUSDT,BTCBVOL,USDT,39.0243
1759363395000,BTCBVOLUSDT,BTCBVOL,USDT,39.0247
1759363396000,BTCBVOLUSDT,BTCBVOL,USDT,39.0251
1759363397001,BTCBVOLUSDT,BTCBVOL,USDT,39.0254
1759363398006,BTCBVOLUSDT,BTCBVOL,USDT,39.0257
1759363399000,BTCBVOLUSDT,BTCBVOL,USDT,39.0261
1759363400000,BTCBVOLUSDT,BTCBVOL,USDT,39.0264
1759363401000,BTCBVOLUSDT,BTCBVOL,USDT,39.0266
1759363402003,BTCBVOLUSDT,BTCBVOL,USDT,39.0271
1759363403000,BTCBVOLUSDT,BTCBVOL,USDT,39.0275
1759363404005,BTCBVOLUSDT,BTCBVOL,USDT,39.0279
1759363405005,BTCBVOLUSDT,BTCBVOL,USDT,39.0282
1759363406000,BTCBVOLUSDT,BTCBVOL,USDT,39.0287
1759363407005,BTCBVOLUSDT,BTCBVOL,USDT,39.0291
1759363408006,BTCBVOLUSDT,BTCBVOL,USDT,39.0295
1759363409000,BTCBVOLUSDT,BTCBVOL,USDT,39.0299
1759363410000,BTCBVOLUSDT,BTCBVOL,USDT,39.0310
1759363411002,BTCBVOLUSDT,BTCBVOL,USDT,39.0318
1759363412000,BTCBVOLUSDT,BTCBVOL,USDT,39.0323
1759363413000,BTCBVOLUSDT,BTCBVOL,USDT,39.0331
1759363414002,BTCBVOLUSDT,BTCBVOL,USDT,39.0339
1759363415001,BTCBVOLUSDT,BTCBVOL,USDT,39.0345
1759363416002,BTCBVOLUSDT,BTCBVOL,USDT,39.0353
1759363417000,BTCBVOLUSDT,BTCBVOL,USDT,39.0360
1759363418000,BTCBVOLUSDT,BTCBVOL,USDT,39.0367
1759363419002,BTCBVOLUSDT,BTCBVOL,USDT,39.0374
1759363420001,BTCBVOLUSDT,BTCBVOL,USDT,39.0381
1759363421000,BTCBVOLUSDT,BTCBVOL,USDT,39.0388
1759363422006,BTCBVOLUSDT,BTCBVOL,USDT,39.0396
1759363423000,BTCBVOLUSDT,BTCBVOL,USDT,39.0402
1759363424001,BTCBVOLUSDT,BTCBVOL,USDT,39.0408
1759363425001,BTCBVOLUSDT,BTCBVOL,USDT,39.0413
1759363426000,BTCBVOLUSDT,BTCBVOL,USDT,39.0419
1759363427000,BTCBVOLUSDT,BTCBVOL,USDT,39.0424
1759363428000,BTCBVOLUSDT,BTCBVOL,USDT,39.0429
1759363429000,BTCBVOLUSDT,BTCBVOL,USDT,39.0435
1759363430004,BTCBVOLUSDT,BTCBVOL,USDT,39.0440
1759363431001,BTCBVOLUSDT,BTCBVOL,USDT,39.0444
1759363432005,BTCBVOLUSDT,BTCBVOL,USDT,39.0450
1759363433005,BTCBVOLUSDT,BTCBVOL,USDT,39.0454
1759363434006,BTCBVOLUSDT,BTCBVOL,USDT,39.0461
1759363435000,BTCBVOLUSDT,BTCBVOL,USDT,39.0465
1759363436000,BTCBVOLUSDT,BTCBVOL,USDT,39.0473
1759363437003,BTCBVOLUSDT,BTCBVOL,USDT,39.0479
1759363438003,BTCBVOLUSDT,BTCBVOL,USDT,39.0485
1759363439000,BTCBVOLUSDT,BTCBVOL,USDT,39.0493
1759363440001,BTCBVOLUSDT,BTCBVOL,USDT,39.0499
1759363441000,BTCBVOLUSDT,BTCBVOL,USDT,39.0505
1759363442000,BTCBVOLUSDT,BTCBVOL,USDT,39.0511
1759363443000,BTCBVOLUSDT,BTCBVOL,USDT,39.0517
1759363444002,BTCBVOLUSDT,BTCBVOL,USDT,39.0524
1759363445000,BTCBVOLUSDT,BTCBVOL,USDT,39.0531
1759363446001,BTCBVOLUSDT,BTCBVOL,USDT,39.0537
1759363447000,BTCBVOLUSDT,BTCBVOL,USDT,39.0542
1759363448007,BTCBVOLUSDT,BTCBVOL,USDT,39.0549
1759363449000,BTCBVOLUSDT,BTCBVOL,USDT,39.0555
1759363450000,BTCBVOLUSDT,BTCBVOL,USDT,39.0562
1759363451001,BTCBVOLUSDT,BTCBVOL,USDT,39.0568
1759363452000,BTCBVOLUSDT,BTCBVOL,USDT,39.0574
1759363453000,BTCBVOLUSDT,BTCBVOL,USDT,39.0581
1759363454000,BTCBVOLUSDT,BTCBVOL,USDT,39.0585
1759363455000,BTCBVOLUSDT,BTCBVOL,USDT,39.0590
1759363456001,BTCBVOLUSDT,BTCBVOL,USDT,39.0595
1759363457000,BTCBVOLUSDT,BTCBVOL,USDT,39.0600
1759363458000,BTCBVOLUSDT,BTCBVOL,USDT,39.0605
1759363459000,BTCBVOLUSDT,BTCBVOL,USDT,39.0610
1759363460002,BTCBVOLUSDT,BTCBVOL,USDT,39.0615
1759363461000,BTCBVOLUSDT,BTCBVOL,USDT,39.0620
1759363462000,BTCBVOLUSDT,BTCBVOL,USDT,39.0626
1759363463001,BTCBVOLUSDT,BTCBVOL,USDT,39.0631
1759363464001,BTCBVOLUSDT,BTCBVOL,USDT,39.0634
1759363465000,BTCBVOLUSDT,BTCBVOL,USDT,39.0640
1759363466001,BTCBVOLUSDT,BTCBVOL,USDT,39.0645
1759363467000,BTCBVOLUSDT,BTCBVOL,USDT,39.0651
1759363468005,BTCBVOLUSDT,BTCBVOL,USDT,39.0656
1759363469007,BTCBVOLUSDT,BTCBVOL,USDT,39.0660
1759363470000,BTCBVOLUSDT,BTCBVOL,USDT,39.0668
1759363471012,BTCBVOLUSDT,BTCBVOL,USDT,39.0675
1759363472000,BTCBVOLUSDT,BTCBVOL,USDT,39.0675
1759363473001,BTCBVOLUSDT,BTCBVOL,USDT,39.0691
1759363474001,BTCBVOLUSDT,BTCBVOL,USDT,39.0697
1759363475000,BTCBVOLUSDT,BTCBVOL,USDT,39.0706
1759363476000,BTCBVOLUSDT,BTCBVOL,USDT,39.0713
1759363477003,BTCBVOLUSDT,BTCBVOL,USDT,39.0723
1759363478004,BTCBVOLUSDT,BTCBVOL,USDT,39.0731
1759363479000,BTCBVOLUSDT,BTCBVOL,USDT,39.0737
1759363480001,BTCBVOLUSDT,BTCBVOL,USDT,39.0744
1759363481005,BTCBVOLUSDT,BTCBVOL,USDT,39.0751
1759363482000,BTCBVOLUSDT,BTCBVOL,USDT,39.0755
1759363483001,BTCBVOLUSDT,BTCBVOL,USDT,39.0762
1759363484000,BTCBVOLUSDT,BTCBVOL,USDT,39.0769
1759363485000,BTCBVOLUSDT,BTCBVOL,USDT,39.0775
1759363486001,BTCBVOLUSDT,BTCBVOL,USDT,39.0783
1759363487000,BTCBVOLUSDT,BTCBVOL,USDT,39.0790
1759363488000,BTCBVOLUSDT,BTCBVOL,USDT,39.0798
1759363489005,BTCBVOLUSDT,BTCBVOL,USDT,39.0805
1759363490009,BTCBVOLUSDT,BTCBVOL,USDT,39.0812
1759363491004,BTCBVOLUSDT,BTCBVOL,USDT,39.0819
1759363492001,BTCBVOLUSDT,BTCBVOL,USDT,39.0826
1759363493000,BTCBVOLUSDT,BTCBVOL,USDT,39.0832
1759363494000,BTCBVOLUSDT,BTCBVOL,USDT,39.0838
1759363495000,BTCBVOLUSDT,BTCBVOL,USDT,39.0845
1759363496000,BTCBVOLUSDT,BTCBVOL,USDT,39.0851
1759363497000,BTCBVOLUSDT,BTCBVOL,USDT,39.0857
1759363498005,BTCBVOLUSDT,BTCBVOL,USDT,39.0863
1759363499001,BTCBVOLUSDT,BTCBVOL,USDT,39.0871
1759363500005,BTCBVOLUSDT,BTCBVOL,USDT,39.0878
1759363501000,BTCBVOLUSDT,BTCBVOL,USDT,39.0885
1759363502004,BTCBVOLUSDT,BTCBVOL,USDT,39.0900
1759363503001,BTCBVOLUSDT,BTCBVOL,USDT,39.0915
1759363504001,BTCBVOLUSDT,BTCBVOL,USDT,39.0923
1759363505011,BTCBVOLUSDT,BTCBVOL,USDT,39.0928
1759363506002,BTCBVOLUSDT,BTCBVOL,USDT,39.0932
1759363507003,BTCBVOLUSDT,BTCBVOL,USDT,39.0938
1759363508000,BTCBVOLUSDT,BTCBVOL,USDT,39.0943
1759363509001,BTCBVOLUSDT,BTCBVOL,USDT,39.0948
1759363510001,BTCBVOLUSDT,BTCBVOL,USDT,39.0953
1759363511000,BTCBVOLUSDT,BTCBVOL,USDT,39.0957
1759363512000,BTCBVOLUSDT,BTCBVOL,USDT,39.0961
1759363513004,BTCBVOLUSDT,BTCBVOL,USDT,39.0965
1759363514000,BTCBVOLUSDT,BTCBVOL,USDT,39.0968
1759363515001,BTCBVOLUSDT,BTCBVOL,USDT,39.0972
1759363516000,BTCBVOLUSDT,BTCBVOL,USDT,39.0977
1759363517000,BTCBVOLUSDT,BTCBVOL,USDT,39.0982
1759363518004,BTCBVOLUSDT,BTCBVOL,USDT,39.0986
1759363519003,BTCBVOLUSDT,BTCBVOL,USDT,39.0991
1759363520003,BTCBVOLUSDT,BTCBVOL,USDT,39.0995
1759363521010,BTCBVOLUSDT,BTCBVOL,USDT,39.1000
1759363522000,BTCBVOLUSDT,BTCBVOL,USDT,39.1003
1759363523004,BTCBVOLUSDT,BTCBVOL,USDT,39.1006
1759363524000,BTCBVOLUSDT,BTCBVOL,USDT,39.1009
1759363525002,BTCBVOLUSDT,BTCBVOL,USDT,39.1013
1759363526002,BTCBVOLUSDT,BTCBVOL,USDT,39.1016
1759363527000,BTCBVOLUSDT,BTCBVOL,USDT,39.1021
1759363528003,BTCBVOLUSDT,BTCBVOL,USDT,39.1029
1759363529002,BTCBVOLUSDT,BTCBVOL,USDT,39.1031
1759363530001,BTCBVOLUSDT,BTCBVOL,USDT,39.1034
1759363531000,BTCBVOLUSDT,BTCBVOL,USDT,39.1038
1759363532006,BTCBVOLUSDT,BTCBVOL,USDT,39.1042
1759363533000,BTCBVOLUSDT,BTCBVOL,USDT,39.1045
1759363534000,BTCBVOLUSDT,BTCBVOL,USDT,39.1049
1759363535000,BTCBVOLUSDT,BTCBVOL,USDT,39.1051
1759363536002,BTCBVOLUSDT,BTCBVOL,USDT,39.1053
1759363537000,BTCBVOLUSDT,BTCBVOL,USDT,39.1056
1759363538008,BTCBVOLUSDT,BTCBVOL,USDT,39.1059
1759363539000,BTCBVOLUSDT,BTCBVOL,USDT,39.1062
1759363540000,BTCBVOLUSDT,BTCBVOL,USDT,39.1064
1759363541005,BTCBVOLUSDT,BTCBVOL,USDT,39.1066
1759363542001,BTCBVOLUSDT,BTCBVOL,USDT,39.1067
1759363543000,BTCBVOLUSDT,BTCBVOL,USDT,39.1069
1759363544000,BTCBVOLUSDT,BTCBVOL,USDT,39.1070
1759363545000,BTCBVOLUSDT,BTCBVOL,USDT,39.1072
1759363546000,BTCBVOLUSDT,BTCBVOL,USDT,39.1074
1759363547002,BTCBVOLUSDT,BTCBVOL,USDT,39.1076
1759363548005,BTCBVOLUSDT,BTCBVOL,USDT,39.1078
1759363549000,BTCBVOLUSDT,BTCBVOL,USDT,39.1080
1759363550004,BTCBVOLUSDT,BTCBVOL,USDT,39.1082
1759363551000,BTCBVOLUSDT,BTCBVOL,USDT,39.1084
1759363552000,BTCBVOLUSDT,BTCBVOL,USDT,39.1088
1759363553000,BTCBVOLUSDT,BTCBVOL,USDT,39.1091
1759363554005,BTCBVOLUSDT,BTCBVOL,USDT,39.1095
1759363555006,BTCBVOLUSDT,BTCBVOL,USDT,39.1098
1759363556004,BTCBVOLUSDT,BTCBVOL,USDT,39.1101
1759363557000,BTCBVOLUSDT,BTCBVOL,USDT,39.1104
1759363558000,BTCBVOLUSDT,BTCBVOL,USDT,39.1106
1759363559000,BTCBVOLUSDT,BTCBVOL,USDT,39.1108
1759363560000,BTCBVOLUSDT,BTCBVOL,USDT,39.1110
1759363561000,BTCBVOLUSDT,BTCBVOL,USDT,39.1113
1759363562007,BTCBVOLUSDT,BTCBVOL,USDT,39.1114
1759363563001,BTCBVOLUSDT,BTCBVOL,USDT,39.1115
1759363564006,BTCBVOLUSDT,BTCBVOL,USDT,39.1116
